mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL06_prob1000	13	4	0.125	125325.01231647545	-0.025546554601504932	-0.013238463458185901	0.02877296242553756	2.89406963014054e+57
selected_channel	GL06_prob1000	13	4	0.0625	250651.0246329509	-0.05109162289326345	-0.02647678753920763	0.057544541081355254	7.408965733324158e+59
selected_channel	GL14_bins128_im_minus	0	7	16.0	256.718901532201	-1.866500583933654e-05	-8.324539158713012e-06	2.0437230614430456e-05	2.200284184738489e+35
selected_channel	GL14_bins128_im_minus	0	7	8.0	514.437803064402	-3.729739680173248e-05	-1.6498293063884375e-05	4.0783446178660525e-05	5.711397540247004e+37
selected_channel	GL14_bins128_im_minus	0	7	4.0	1029.875606128804	-7.456013848215919e-05	-3.284664337032912e-05	8.147463550809135e-05	1.4722547057608434e+40
selected_channel	GL14_bins128_im_minus	0	7	2.0	2060.751212257608	-0.00014908461464262248	-6.554376574684109e-05	0.00016285640162860048	3.781990428451858e+42
selected_channel	GL14_bins128_im_minus	0	7	1.0	4122.502424515216	-0.0002981330665757266	-0.00013093822149457863	0.00032561962968164247	9.698586648779306e+44
selected_channel	GL14_bins128_im_minus	0	7	0.5	8246.00484902501	-0.0005962297210446856	-0.0002617272385124834	0.0006511459342086027	2.484976418593825e+47
selected_channel	GL14_bins128_im_minus	0	7	0.25	16493.00969805002	-0.0011924229057034862	-0.0005233053253042791	0.001302198467799038	6.36427770691768e+49
selected_channel	GL14_bins128_im_minus	0	7	0.125	32987.01939610004	-0.0023848092128427676	-0.0010464615252815477	0.002604303497205025	1.629605639108542e+52
selected_channel	GL14_bins128_im_minus	0	7	0.0625	65975.03879253322	-0.004769581793643448	-0.0020927739384960925	0.00520851353496403	4.1722391816774216e+54
selected_channel	GL14_bins128_im_minus	1	7	16.0	256.718901532201	-1.856877237847586e-05	-8.272757271961893e-06	2.0328251782296637e-05	2.200284184738489e+35
selected_channel	GL14_bins128_im_minus	1	7	8.0	514.437803064402	-3.720115261346347e-05	-1.6446776954685662e-05	4.067458946280072e-05	5.711397540247004e+37
selected_channel	GL14_bins128_im_minus	1	7	4.0	1029.875606128804	-7.44638897903405e-05	-3.2795260415570544e-05	8.136584042725217e-05	1.4722547057608434e+40
selected_channel	GL14_bins128_im_minus	1	7	2.0	2060.751212257608	-0.0001489883639103054	-6.549244943292633e-05	0.00016274763750480066	3.781990428451858e+42
