mode	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	10	10	16.0	2056.2006895537943	-0.002183262741605587	-0.0005714264680303623	0.00225680402499836	3.3195220803022064e+43
selected_channel	10	10	8.0	4113.401379107589	-0.0043644052673736155	-0.0011431355002451827	0.004511628542976401	8.506464555648617e+45
selected_channel	10	10	4.0	8227.802758215177	-0.00872669119021183	-0.002286552589443401	0.009021278283791666	2.1787419990607044e+48
selected_channel	10	10	2.0	16456.605516430354	-0.017451263471385467	-0.0045733862806075255	0.01804057811765914	5.578971358086577e+50
selected_channel	10	10	1.0	32914.21103286071	-0.03490040825021822	-0.009147053419020931	0.03607917796017979	1.4283948480430382e+53
selected_channel	10	10	0.5	65829.42206563668	-0.06979869792505891	-0.01829438757741218	0.07215637774213861	3.65691889768933e+55
selected_channel	10	10	0.25	131659.84413192148	-0.13959527734817742	-0.03658905585277308	0.1443107773733893	9.362004339589753e+57
selected_channel	10	10	0.125	263320.68826519884	-0.2791884360394064	-0.07317839227698013	0.28861957645726893	2.3967104827345258e+60
selected_channel	10	10	0.0625	526642.3765146042	-0.5583747538030515	-0.1463570653890136	0.5772371750622982	6.135626670534234e+62
selected_channel	11	10	16.0	2056.2006895537943	0.0022234836856957693	0.0022385301741315073	0.0031551381968231563	3.3195220803022064e+43
selected_channel	11	10	8.0	4113.401379107589	0.0044423428168296	0.004476685099514559	0.006306751872592834	8.506464555648617e+45
selected_channel	11	10	4.0	8227.802758215177	0.008880064780980806	0.00895299190971613	0.012609980755332584	2.1787419990607044e+48
selected_channel	11	10	2.0	16456.605516430354	0.017755510559473792	0.017905604011900826	0.02521643928588222	5.578971358086577e+50
selected_channel	11	10	1.0	32914.21103286071	0.035506403041940374	0.03581082745948447	0.05042935673107163	1.4283948480430382e+53
selected_channel	11	10	0.5	65829.42206563668	0.07100818846422007	0.07162127397603901	0.10085519180945043	3.65691889768933e+55
selected_channel	11	10	0.25	131659.84413192148	0.14201175955035333	0.14324216679003093	0.20170686204809793	9.362004339589753e+57
selected_channel	11	10	0.125	263320.68826519884	0.28401890190913065	0.2864839525871428	0.40341020281051476	2.3967104827345258e+60
selected_channel	11	10	0.0625	526642.3765146042	0.5680331864825127	0.5729675233009035	0.8068168836254286	6.135626670534234e+62
selected_channel	12	10	16.0	2056.2006895537943	-0.0021833358789739524	-0.0005713721168499507	0.0022568610183900458	3.3195220803022064e+43
selected_channel	12	10	8.0	4113.401379107589	-0.00436447837693306	-0.0011430813276527487	0.004511685541385238	8.506464555648617e+45
selected_channel	12	10	4.0	8227.802758215177	-0.008726764285975106	-0.002286498505996243	0.009021335284806437	2.1787419990607044e+48
selected_channel	12	10	2.0	16456.605516430354	-0.01745133656010915	-0.004573332241781791	0.01804063511985992	5.578971358086577e+50
selected_channel	12	10	1.0	32914.21103286071	-0.03490048133727429	-0.00914699940336214	0.0360792349649842	1.4283948480430382e+53
selected_channel	12	10	0.5	65829.42206563668	-0.0697987709995855	-0.01829433356976066	0.0721564347360251	3.65691889768933e+55
selected_channel	12	10	0.25	131659.84413192148	-0.1395953503843094	-0.03658900182179773	0.14431083432380823	9.362004339589753e+57
selected_channel	12	10	0.125	263320.68826519884	-0.2791885092528423	-0.07317833832210509	0.288619633598286	2.3967104827345258e+60
