path	radius	relative_radius	raw_abs_weight	bad_channel_probability_ose_alpha1	bad_channel_probability_ose_alpha3	bad_channel_probability_ose_alpha4	bad_channel_probability_jacobian_linear	bad_channel_probability_jacobian_log	bad_channel_weighted_abs_ose_alpha1	bad_channel_weighted_abs_ose_alpha3	bad_channel_weighted_abs_ose_alpha4	bad_channel_weighted_abs_jacobian_linear	bad_channel_weighted_abs_jacobian_log
fixed relative q	28368.096047762687	0.2	133744.02512461055	7.05012382621374e-06	3.504285003821643e-16	2.4705817378358257e-21	5.125426610619494e-16	3.896512625843729e-146	0.9429119381447458	4.686771815949178e-11	3.3042554601751864e-16	6.854951853850411e-11	5.211352825292059e-141
fixed relative q	30498.37706952071	0.2	143787.4329642699	6.557682984245768e-06	2.820069409533498e-16	1.849324245411123e-21	3.838294325913378e-16	2.4101712537733604e-156	0.9429124024981718	4.05490541177886e-11	2.6590958596625087e-16	5.518984880844073e-11	3.465523375843474e-151
fixed relative q	32788.629956292796	0.2	154585.04302801634	6.099638205263391e-06	2.269447680664931e-16	1.3842894214476676e-21	2.8743059095157156e-16	2.5794867636998836e-167	0.9429128344159737	3.5082266736542025e-11	2.1399043977771556e-16	4.4432470269816855e-11	3.9875007235674513e-162
fixed relative q	35250.86767600913	0.2	166193.49156950018	5.673587017513043e-06	1.8263354645492062e-16	1.0361931970612809e-21	2.1523609361024946e-16	4.1871546333816475e-179	0.9429132361638796	3.035250676306377e-11	1.7220856536017743e-16	3.577083790886714e-11	6.958778482631065e-174
fixed relative q	37898.005301469406	0.2	178673.66789961277	5.277294751564155e-06	1.4697414077449202e-16	7.756299549527731e-22	1.6117047656903367e-16	8.947368189238034e-192	0.9429136098493432	2.6260408818572523e-11	1.3858464898422338e-16	2.8796920205717843e-11	1.5986590924194762e-186
fixed relative q	40743.92775323614	0.2	192091.03376665295	4.908682820552842e-06	1.1827727422053257e-16	5.805884739528133e-22	1.206826864498586e-16	2.161391933351708e-205	0.9429139574326053	2.2720003876123993e-11	1.1152584015459938e-16	2.318206199789018e-11	4.1518401085243427e-200
fixed relative q	43803.56262962907	0.2	206515.9667201032	4.565817818894918e-06	9.518350318667576e-17	4.345925191848348e-22	9.036376078938007e-17	5.011169122381624e-220	0.942914280736957	1.9656913176402368e-11	8.975029422878114e-17	1.866155941588298e-11	1.0348864357065722e-214
fixed relative q	47092.958505833616	0.2	222024.1292590524	4.246901382318525e-06	7.659881696160704e-17	3.253090031934644e-22	6.76603406969991e-17	9.35144069420123e-236	0.9429145814583365	1.7006785638174334e-11	7.222644817415923e-17	1.5022228228622052e-11	2.0762454774476963e-230
fixed relative q	50629.36911282339	0.2	238696.86570154925	3.9502607560552e-06	6.164281165745062e-17	2.43506141696085e-22	5.066001051132155e-17	1.162462156261525e-252	0.9429148611742084	1.4713945935664383e-11	5.812415280193283e-17	1.2092385725459993e-11	2.774760731962906e-247
fixed relative q	54431.343837635286	0.2	256621.6288565592	3.6743400217403177e-06	4.9606983236998146e-17	1.8227359360066348e-22	3.79304674243605e-17	7.85409475541336e-271	0.9429151213518455	1.2730224840938491e-11	4.6775346487340765e-17	9.733778333730049e-12	2.0155305893279353e-265
fixed relative q	58518.82501969502	0.2	275892.43873653247	3.417691937025023e-06	3.9921163874291134e-17	1.3643870619528535e-22	2.8399030012200016e-17	2.317674955392208e-290	0.9429153633560171	1.101394725847894e-11	3.764240739027451e-17	7.83507764781784e-12	6.394289956417404e-285
fixed relative q	62913.252553539576	0.2	296610.3757166602	3.1789703451132736e-06	3.212651165359302e-17	1.0212955250552712e-22	2.1262373431908077e-17	2.361227131789e-311	0.942915588456169	9.529056692037887e-12	3.029268494043877e-17	6.306640572266188e-12	7.003644667123779e-306
fixed relative q	67637.6763465999	0.2	318884.11072754127	2.956923114424793e-06	2.5853774060047994e-17	7.644784816368165e-23	1.591891235807249e-17	0.0	0.9429157978330619	8.24435775008918e-12	2.4378004078709723e-17	5.0762882110536135e-12	0.0
