include_integrated_ct	mode	case	radius	original	local_double_uv_ct	subtracted	relative_norm
False	3d_cff_expansion	locked equal	1656449.0501698211	2015699.9167015685	1904916407695.551	-1904914391995.6343	0.0
False	3d_cff_expansion	locked equal	1764311.815044419	2146955.9708196116	2028958587301.3228	-2028956440345.352	0.0
False	3d_cff_expansion	locked equal	1879198.2647375714	2286759.0073529882	2161078004448.433	-2161075717689.4258	0.0
False	3d_cff_expansion	locked equal	2001565.759567165	2435665.5789795937	2301800623502.4526	-2301798187836.8735	0.0
False	3d_cff_expansion	locked equal	2131901.4417199637	2594268.479341453	2451686657978.158	-2451684063709.6787	0.0
False	3d_cff_expansion	locked equal	2270724.17455348	2763199.1029426167	2611332800736.6895	-2611330037537.5864	0.0
False	3d_cff_expansion	locked equal	2418586.6081790826	2943129.9587161774	2781374599406.121	-2781371656276.1626	0.0
False	3d_cff_expansion	locked equal	2576077.379549398	3134777.3472668873	2962488986481.9736	-2962485851704.6265	0.0
False	3d_cff_expansion	locked equal	2743823.455808502	3338904.212447414	3155396974179.9326	-3155393635275.72	0.0
False	3d_cff_expansion	locked equal	2922492.630233721	3556323.1786203026	3360866524768.924	-3360862968445.745	0.0
False	3d_cff_expansion	locked equal	3112796.180705332	3787899.7856968963	3579715607811.269	-3579711819911.4834	0.0
False	3d_cff_expansion	locked equal	3315491.701287467	4034555.934831839	3812815456480.716	-3812811421924.781	0.0
False	3d_cff_expansion	locked equal	3531386.1181927063	4297273.558490433	4061094035921.732	-4061089738648.1733	0.0
False	3d_cff_expansion	locked equal	3761338.902136763	4577098.52949919	4325539737457.39	-4325535160358.861	0.0
False	3d_cff_expansion	locked equal	4006265.4898716905	4875144.824641561	4607205313352.551	-4607200438207.727	0.0
False	3d_cff_expansion	locked equal	4267140.928518563	5192598.959373921	4907212067796.445	-4907206875197.486	0.0
False	3d_cff_expansion	locked equal	4545003.757207669	5530724.711316361	5226754320788.914	-5226748790064.203	0.0
False	3d_cff_expansion	locked equal	4840960.141478949	5890868.151322359	5567104162700.881	-5567098271832.7295	0.0
False	3d_cff_expansion	locked equal	5156188.276901583	6274463.002155927	5929616518436.903	-5929610243973.901	0.0
False	3d_cff_expansion	locked equal	5491943.079443549	6683036.346109071	6315734541360.16	-6315727858323.814	0.0
False	3d_cff_expansion	locked equal	5849561.181263199	7118214.70428123	6726995358452.753	-6726988240238.049	0.0
False	3d_cff_expansion	locked equal	6230466.251811239	7581730.511722494	7165036189582.994	-7165028607852.482	0.0
False	3d_cff_expansion	locked equal	6636174.665426095	8075429.014217714	7631600865240.072	-7631592789811.058	0.0
False	3d_cff_expansion	locked equal	7068301.537985341	8601275.614167625	8128546768683.203	-8128538167407.589	0.0
False	3d_cff_expansion	locked equal	7528567.156644912	9161363.69481064	8657852230141.705	-8657843068778.011	0.0
False	3d_cff_expansion	locked equal	8018803.828262768	9757922.953933474	9221624402502.238	-9221614644579.285	0.0
False	3d_cff_expansion	locked equal	8540963.173770411	10393328.280246802	9822107649836.027	-9822097256507.748	0.0
False	3d_cff_expansion	locked equal	9097123.897530988	11070109.207762675	10461692482160.684	-10461681412051.477	0.0
False	3d_cff_expansion	locked equal	9689500.062613683	11790959.985811416	11142925072005.78	-11142913281045.793	0.0
False	3d_cff_expansion	locked equal	10320449.904927852	12558750.304786198	11868517390667.07	-11868504831916.766	0.0
False	3d_cff_expansion	locked equal	10992485.221306084	13376536.720314678	12641358004502.04	-12641344627965.318	0.0
False	3d_cff_expansion	locked equal	11708281.368909704	14247574.821336739	13464523574246.197	-13464509326671.375	0.0
False	3d_cff_expansion	locked equal	12470687.915764175	15175332.190529307	14341291103128.838	-14341275927796.646	0.0
False	3d_cff_expansion	locked equal	13282739.984823985	16163502.208673334	15275150982547.615	-15275134819045.406	0.0
False	3d_cff_expansion	locked equal	14147670.33672739	17216018.757917862	16269820887236.531	-16269803671217.773	0.0
