include_integrated_ct	mode	delta	abs_subtracted	measure_weighted_delta2_abs_subtracted
False	3d_cff_expansion	0.0007206768734806797	1594504400.3045197	828.145971602832
False	3d_cff_expansion	0.0007635635497382513	1504878584.469006	877.3882993943874
False	3d_cff_expansion	0.0008090023642260101	1420286737.6034472	929.5561173693546
False	3d_cff_expansion	0.0008571451918411112	1340446112.8544085	984.8229172294176
False	3d_cff_expansion	0.0009081529453863058	1265089801.0415282	1043.372404520622
False	3d_cff_expansion	0.0009621961134056091	1193965998.66182	1105.3992254543368
False	3d_cff_expansion	0.0010194553300259764	1126836967.7368708	1171.1094568325884
False	3d_cff_expansion	0.0010801219787096212	1063478334.6983812	1240.7213443198286
False	3d_cff_expansion	0.00114439883193495	1003678323.9677664	1314.46599868711
False	3d_cff_expansion	0.0012125007289442108	947237077.6915023	1392.5881844216374
False	3d_cff_expansion	0.0012846552938231323	893965940.9368974	1475.3470572015626
False	3d_cff_expansion	0.0013611036963126905	843686847.0277346	1563.0170134448704
False	3d_cff_expansion	0.0014421014578959352	796231760.9103658	1655.8886485433127
False	3d_cff_expansion	0.0015279193058541326	751442064.7163086	1754.2696079222746
False	3d_cff_expansion	0.0016188440781468522	709168068.9904151	1858.485660923199
False	3d_cff_expansion	0.001715179682140439	669268445.9453977	1968.8815831965862
False	3d_cff_expansion	0.001817248110389361	631609865.4224741	2085.8225422605533
False	3d_cff_expansion	0.001925390516865572	596066439.1860031	2209.694969501193
False	3d_cff_expansion	0.002039968357233062	562519371.5557702	2340.907994578685
False	3d_cff_expansion	0.0021613645969789036	530856540.3264256	2479.8946936667753
False	3d_cff_expansion	0.002289984991438802	500972110.1572833	2627.1134065614287
False	3d_cff_expansion	0.0024262594419955466	472766200.8260187	2783.049284427351
False	3d_cff_expansion	0.0025706434329833315	446144529.2719975	2948.2156955972278
False	3d_cff_expansion	0.0027236195541006166	421018120.10111517	3123.155979961819
False	3d_cff_expansion	0.002885699113420118	397302991.29838806	3308.445058287379
False	3d_cff_expansion	0.003057423846387185	374919876.31971025	3504.691232781631
False	3d_cff_expansion	0.003239367726518784	353793961.97860545	3712.538096083706
False	3d_cff_expansion	0.003432138883855167	333854637.64355105	3932.66651711865
False	3d_cff_expansion	0.00363638163757642	315035257.559029	4165.796715714874
False	3d_cff_expansion	0.0038527786495778037	297272918.51071256	4412.690462812819
False	3d_cff_expansion	0.004082053206201907	280508252.3231215	4674.153434870008
False	3d_cff_expansion	0.0043249716357541676	264685225.96209174	4951.0376393876295
False	3d_cff_expansion	0.004582345869882053	249750951.58509058	5244.243925671022
False	3d_cff_expansion	0.004855036157379002	235655513.11793667	5554.724727256963
False	3d_cff_expansion	0.005143953939483884	222351797.57525092	5883.486849258429
False	3d_cff_expansion	0.005450064896286246	209795338.9853756	6231.594459924931
False	3d_cff_expansion	0.005774392174419787	197944167.7078734	6600.172136938075
False	3d_cff_expansion	0.006118019806832271	186758673.36968684	6990.408212801154
False	3d_cff_expansion	0.00648209633606206	176201468.7531641	7403.5580601832535
False	3d_cff_expansion	0.0068678386531318995	166237268.0769268	7840.947761745645
False	3d_cff_expansion	0.007276536064890876	156832766.39889464	8303.977724391953
False	3d_cff_expansion	0.007709554603399424	147956530.10346138	8794.126632720465
False	3d_cff_expansion	0.008168341591761033	139578891.14119434	9312.955467465681
False	3d_cff_expansion	0.008654430481661424	131671848.57806115	9862.111770831583
False	3d_cff_expansion	0.009169445978784383	124208973.0750756	10443.333897926675
False	3d_cff_expansion	0.009715109473235286	117165321.1763189	11058.455759792962
False	3d_cff_expansion	0.010293244793123098	110517349.96585932	11709.411409308717
False	3d_cff_expansion	0.01090578430053167	104242838.82538043	12398.23995620946
False	3d_cff_expansion	0.011554775350255344	98320816.22457245	13127.090755838824
False	3d_cff_expansion	0.012242387132886877	92731487.84282216	13898.228432629363
False	3d_cff_expansion	0.012970917925129728	87456171.98385137	14714.038452342935
False	3d_cff_expansion	0.013742802771568434	82477236.5516187	15577.032601292949
False	3d_cff_expansion	0.01456062162357259	77778039.32222517	16489.854499971767
False	3d_cff_expansion	0.015427107962537767	73342873.84191059	17455.28567274147
False	3d_cff_expansion	0.016345157936286093	69156915.77585922	18476.25124522328
False	3d_cff_expansion	0.017317840039163607	65206173.764563546	19555.826010970297
False	3d_cff_expansion	0.018348405368189557	61477442.60523161	20697.240480366425
False	3d_cff_expansion	0.019440298489537693	57958259.19200363	21903.88700758063
