probe	source	graph_group	lmb_channel	event_graph_id	event_graph_name	event_weight_re	event_weight_im	event_weight_abs	rank	weight_key	kind	esurface_id	edge_ids	raw_re	raw_im	raw_abs	weighted_re	weighted_im	weighted_abs
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	7	threshold_counterterm:34:0	threshold_counterterm	34	15,16	1.223880626074521e-27	-3.421256119407984e-27	3.633576367914556e-27	5.169136927121619e-07	-1.4449890755028422e-06	1.5346638700496869e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	1	GL05_isr_p1_ct	-0.2674277490265166	0.4528335601553715	0.5259047766966735	8	threshold_counterterm:30:0	threshold_counterterm	30	9,14,15	-8.558191004522423e-28	-3.2399298505445986e-27	3.3510553217081974e-27	-3.61460588625604e-07	-1.368404783516359e-06	1.415339326338395e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	1	threshold_counterterm:39:0	threshold_counterterm	39	9,12,16	-2.180068517754519e-25	-1.3907125475309279e-25	2.5858809199118875e-25	-9.207656726232066e-05	-5.8737620575879425e-05	0.00010921630972399971
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	2	threshold_counterterm:6:0	threshold_counterterm	6		-2.1258942902778446e-25	-1.302018767407656e-25	2.4929258721666178e-25	-8.978848463578096e-05	-5.4991582896439154e-05	0.0001052902947220009
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	3	threshold_counterterm:35:0	threshold_counterterm	35	13,16	4.222508698990151e-26	-1.6574895734476656e-26	4.536171447281862e-26	1.7834031502769488e-05	-7.000511633154738e-06	1.9158805880526826e-05
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	4	threshold_counterterm:13:0	threshold_counterterm	13	11,15	1.6981062178070795e-26	-1.3724768717233443e-26	2.1834050220631447e-26	7.172058589402763e-06	-5.796742531990632e-06	9.221748662375e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	5	threshold_counterterm:20:0	threshold_counterterm	20	13,15	-1.375177805768735e-26	4.407156625379786e-27	1.444072121704869e-26	-5.80815009708669e-06	1.861390365245656e-06	6.099129580695715e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	6	threshold_counterterm:17:0	threshold_counterterm	17	9,13,14	8.10329620872292e-27	-9.223779114584716e-27	1.22776834378865e-26	3.422478203471765e-06	-3.8957212176598234e-06	5.1855569478084275e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	7	threshold_counterterm:7:0	threshold_counterterm	7	10,14	3.199879236249314e-27	6.2737473305567286e-27	7.04266516982365e-27	1.3514891542550579e-06	2.6497567088570645e-06	2.9745140023543467e-06
highstat_iter_0001_imag_plus_exact_highstat_max	im[+] +8.91083940e+01	0	14	3	GL06	-0.0001581431516166027	-0.00012517354663625708	0.00020168706746028864	8	threshold_counterterm:23:0	threshold_counterterm	23	10,14	2.4132725383986084e-27	-1.9043084427787144e-27	3.074129956561231e-27	1.0192608598973938e-06	-8.042966677043834e-07	1.2983781537746044e-06
