point_index	source	scan_row_index	x0	x1	x2	x3	x4	x5	dx2_from_root	signed_side_fraction	t	total_re	total_im	total_abs	dominant_re	dominant_im	dominant_abs	other_re	other_im	other_abs	scan_re	scan_im	scan_abs	is_nan
49	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181236200773	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.000000082740371e-10			-5959.964391960022	-15251.754761363027	16374.895384526619	-5959.964326595646	-15251.754818502437	16374.895413956237	-6.536437649629079e-05	5.713941027352121e-05	8.681828103086718e-05				False
50	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181236571428	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.3706547008496273e-10			-4354.790850669508	-11144.060166419438	11964.709789453787	-4354.790785305131	-11144.06022355885	11964.709818883408	-6.536437649629079e-05	5.713941209251061e-05	8.68182822280342e-05				False
51	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181237079467	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.8786938671411235e-10			-3180.6775776105173	-8139.4637028382385	8738.854571540567	-3180.67751224614	-8139.46375997765	8738.854600970186	-6.536437740578549e-05	5.713941118301591e-05	8.681828231419765e-05				False
52	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181237775813	0.7527842995682404	0.5585112730395129	0.25621170988207465	2.575040181085342e-10			-2322.414574207513	-5943.139000598161	6380.792320309632	-2322.4145088431355	-5943.139057737573	6380.792349739251	-6.536437740578549e-05	5.713941209251061e-05	8.681828291278116e-05				False
53	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181238730264	0.7527842995682404	0.5585112730395129	0.25621170988207465	3.5294911437944165e-10			-1695.381041884718	-4338.538510174052	4658.028905174956	-1695.3809765203405	-4338.538567313464	4658.028934604575	-6.536437740578549e-05	5.713941209251061e-05	8.681828291278116e-05				False
54	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181240038486	0.7527842995682404	0.5585112730395129	0.25621170988207465	4.837713563077273e-10			-1237.4451688197037	-3166.664776753612	3399.8582844241064	-1237.445103455326	-3166.664833893023	3399.858313853724	-6.536437763315917e-05	5.713941118301591e-05	8.681828248538439e-05				False
55	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181241831608	0.7527842995682404	0.5585112730395129	0.25621170988207465	6.630834770149363e-10			-903.0959566471055	-2311.0535818663707	2481.239804043481	-903.0958912827282	-2311.0536390057814	2481.2398334730988	-6.536437729209865e-05	5.713941072826856e-05	8.681828192931253e-05				False
56	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181244289357	0.7527842995682404	0.5585112730395129	0.25621170988207465	9.088584329575156e-10			-659.0293439673501	-1686.4786808218487	1810.6711510035827	-659.0292786029729	-1686.4787379612594	1810.6711804331999	-6.536437717841181e-05	5.713941072826856e-05	8.681828184371916e-05				False
57	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181247658083	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.2457309628288726e-09			-480.89361873847366	-1230.6232004850003	1321.2464320161207	-480.89355337409665	-1230.6232576244104	1321.246461445737	-6.536437700788156e-05	5.713941004614753e-05	8.681828126639148e-05				False
58	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181252275441	0.7527842995682404	0.5585112730395129	0.25621170988207465	1.7074668345884447e-09			-350.892118311371	-897.9448657738279	964.0696347581014	-350.8920529469942	-897.9449229132377	964.0696641877166	-6.536437678050788e-05	5.7139409818773856e-05	8.681828094555886e-05				False
59	root_log_probe		0.5387589249438893	0.24174091659991892	0.9441181258604247	0.7527842995682404	0.5585112730395129	0.25621170988207465	2.3403473603522684e-09			-256.0259510219169	-655.1790634515404	703.4265368763923	-256.0258856575404	-655.1791205909497	703.4265663060062	-6.536437649629079e-05	5.713940925033967e-05	8.681828035746074e-05				False
