point_index	source	x2	dx2_from_root	event_graph_id	event_graph_name	term_key	edge_ids	weighted_re	weighted_im	weighted_abs	pole_scaled_re	pole_scaled_im	pole_scaled_abs	raw_re	raw_im	raw_abs
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	2	GL05_isr_p2_ct	threshold_counterterm:34:0	15,16	2.721520293222742e-07	2.2227578353033297e-07	3.513876079321174e-07	-1.4906380547727664e-14	-1.2174546058313381e-14	1.9246291922333184e-14	5.018566909848296e-27	4.098833636713337e-27	6.479695286823059e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	original		-1.3706717494460335e-06	-4.704135703124527e-08	1.37147873990113e-06	7.507478358380174e-14	2.5765612372447435e-15	7.51189842713807e-14	-2.5275607546133937e-26	-8.674570547177803e-28	2.5290488697689542e-26
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:6:0		-2.9390225017014863e-08	-3.368049050632483e-08	4.470079157349904e-08	1.609768920621137e-15	1.8447564391551508e-15	2.4483631874381163e-15	-5.419647654683666e-28	-6.210785772328152e-28	8.242963096524937e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:7:0	10,14	-3.3977477504174257e-08	-1.6169391964801728e-07	1.6522527841915153e-07	1.861023086950117e-15	8.856340717095572e-15	9.049761202785754e-15	-6.265551085810249e-28	-2.9816854817874185e-27	3.0468048208559158e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:13:0	11,15	5.83916460897413e-19	-3.3163432293715792e-18	3.367356655940335e-18	-3.198242172176519e-26	1.8164359945063577e-25	1.8443771989637003e-25	1.0767598669291436e-38	-6.115438651723285e-38	6.209508975274968e-38
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:16:0	9,11,12	-2.1889380663054033e-08	-3.583190597939609e-08	4.198893273147539e-08	1.1989307554681884e-15	1.962594317629662e-15	2.299828561436648e-15	-4.036468945178841e-28	-6.60751338554413e-28	7.742888006780031e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:17:0	9,13,14	-4.6381540768958007e-08	-1.19923741360973e-08	4.7906830009119255e-08	2.540421612191328e-15	6.568493830031579e-16	2.623965144517056e-15	-8.552898404267803e-28	-2.211430580172884e-28	8.834166419343169e-28
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:19:0	11,13	-2.0714780338300754e-07	2.899642279377349e-07	3.5635581366091366e-07	1.1345952460991835e-14	-1.588199484542357e-14	1.9518411757034622e-14	-3.819869041926846e-27	5.3470293166354294e-27	6.571310524578021e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:20:0	13,15	-6.947049203286963e-08	-3.7678606669505925e-07	3.831369067563482e-07	3.805055555376978e-15	2.063742280086819e-14	2.0985272636811263e-14	-1.281057184821457e-27	-6.948050657996527e-27	7.065162096998811e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:21:0	13,16	3.887524411322386e-29	-2.025663695499041e-27	2.026036695587643e-27	-2.129284812171329e-36	1.1095016995470817e-34	1.1097060001094873e-34	7.168714273589739e-49	-3.735385996579991e-47	3.736073820186043e-47
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:23:0	10,14	5.162987449664081e-08	3.3867723948229e-08	6.174679478298712e-08	-2.827884689285168e-15	-1.855011637116506e-15	3.3820112344182313e-15	9.520707244171756e-28	6.245312193398656e-28	1.1386298381047216e-27
28	root_log_probe	0.9441180687478216	-5.477225573091715e-08	3	GL06	threshold_counterterm:34:0	15,16	3.9220179608705465e-75	-1.0236716029282712e-73	1.0244226535616416e-73	-2.148177707340518e-82	5.606880282006515e-81	5.610993955742298e-81	7.232321437128697e-95	-1.8876818393750336e-93	1.8890667997832435e-93
