R	epsilon	W_toy
5.7476944248353528e+00	0.0000000000000000e+00	3.3035991201283395e+01
6.6494359966650469e+00	0.0000000000000000e+00	4.4214999073744885e+01
7.6926495748791419e+00	0.0000000000000000e+00	5.9176857481888241e+01
8.8995303528852308e+00	0.0000000000000000e+00	7.9201640501925525e+01
1.0295755673125127e+01	0.0000000000000000e+00	1.0600258488068823e+02
1.1911031332830067e+01	0.0000000000000000e+00	1.4187266741165959e+02
1.3779723598335575e+01	0.0000000000000000e+00	1.8988078244652635e+02
1.5941590374559995e+01	0.0000000000000000e+00	2.5413430367026388e+02
1.8442627085855346e+01	0.0000000000000000e+00	3.4013049382792525e+02
2.1336045265014107e+01	0.0000000000000000e+00	4.5522682755073089e+02
2.4683404670686500e+01	0.0000000000000000e+00	6.0927046613686809e+02
2.8555923019901090e+01	0.0000000000000000e+00	8.1544073951851703e+02
3.3035991201283395e+01	0.0000000000000000e+00	1.0913767146512739e+03
3.8218926206331190e+01	0.0000000000000000e+00	1.4606863203649891e+03
4.4214999073744892e+01	0.0000000000000000e+00	1.9549661430912615e+03
5.1151780992931450e+01	0.0000000000000000e+00	2.6165046987488231e+03
5.9176857481888248e+01	0.0000000000000000e+00	3.5019004614317132e+03
6.8460968385746582e+01	0.0000000000000000e+00	4.6869041923141931e+03
7.9201640501925525e+01	0.0000000000000000e+00	6.2728998581962496e+03
9.1627390118867410e+01	0.0000000000000000e+00	8.3955786199951217e+03
1.0600258488068825e+02	0.0000000000000000e+00	1.1236548001387517e+04
1.2263306841775632e+02	0.0000000000000000e+00	1.5038869469554102e+04
1.4187266741165962e+02	0.0000000000000000e+00	2.0127853758499386e+04
1.6413071953751299e+02	0.0000000000000000e+00	2.6938893095901749e+04
1.8988078244652633e+02	0.0000000000000000e+00	3.6054711542505058e+04
2.1967070907932353e+02	0.0000000000000000e+00	4.8255220427412794e+04
2.5413430367026390e+02	0.0000000000000000e+00	6.4584244301969913e+04
2.9400480643347106e+02	0.0000000000000000e+00	8.6438826205982783e+04
3.4013049382792531e+02	0.0000000000000000e+00	1.1568875283162833e+05
3.9349272630958495e+02	0.0000000000000000e+00	1.5483652565854992e+05
4.5522682755073095e+02	0.0000000000000000e+00	2.0723146452190293e+05
5.2664623934842803e+02	0.0000000000000000e+00	2.7735626141984173e+05
6.0927046613686809e+02	0.0000000000000000e+00	3.7121050090663653e+05
7.0485740364519029e+02	0.0000000000000000e+00	4.9682395947343874e+05
8.1544073951851703e+02	0.0000000000000000e+00	6.6494359966650594e+05
9.4337322162997839e+02	0.0000000000000000e+00	8.8995303528852435e+05
1.0913767146512739e+03	0.0000000000000000e+00	1.1911031332830081e+06
1.2626001098748563e+03	0.0000000000000000e+00	1.5941590374559993e+06
1.4606863203649889e+03	0.0000000000000000e+00	2.1336045265014111e+06
1.6898497868124587e+03	0.0000000000000000e+00	2.8555923019901118e+06
1.9549661430912615e+03	0.0000000000000000e+00	3.8218926206331230e+06
2.2616759492228643e+03	0.0000000000000000e+00	5.1151780992931444e+06
2.6165046987488236e+03	0.0000000000000000e+00	6.8460968385746721e+06
3.0270016537634647e+03	0.0000000000000000e+00	9.1627390118867494e+06
3.5019004614317128e+03	0.0000000000000000e+00	1.2263306841775643e+07
4.0513049692353820e+03	0.0000000000000000e+00	1.6413071953751300e+07
4.6869041923141922e+03	0.0000000000000000e+00	2.1967070907932349e+07
5.4222210065015915e+03	0.0000000000000000e+00	2.9400480643347133e+07
6.2728998581962496e+03	0.0000000000000000e+00	3.9349272630958527e+07
7.2570396123242163e+03	0.0000000000000000e+00	5.2664623934842810e+07
8.3955786199951199e+03	0.0000000000000000e+00	7.0485740364519164e+07
9.7127401984711778e+03	0.0000000000000000e+00	9.4337322162997931e+07
1.1236548001387515e+04	0.0000000000000000e+00	1.2626001098748575e+08
1.2999422244132476e+04	0.0000000000000000e+00	1.6898497868124622e+08
1.5038869469554102e+04	0.0000000000000000e+00	2.2616759492228648e+08
