profile,precision_mode,point_id,soft_family,ray_sign,lambda_GeV,radial_measure_power,total_re,total_im,cut0_re,cut0_im,cut1_re,cut1_im,cut2_re,cut2_im,cut3_re,cut3_im,cut4_re,cut4_im,cut5_re,cut5_im,finite,is_nan,final_status,final_precision,estimated_relative_accuracy,precision_history_json,cut_sum_residual_re,cut_sum_residual_im,source_result,source_result_sha256
candidate-off,arb,8,q14,-1,1.0,2,-0.0,-2.1418086990427915e-36,0.0,-1.4587677530842256e-35,0.0,-7.265314633025788e-37,0.0,1.4180761738348994e-35,0.0,4.154625634612697e-35,0.0,7.071013099096536e-38,0.0,-4.2625327920364884e-35,True,False,Stable,Arb,2.7365703588764067e-298,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":2.7365703588764067e-298}]",0.0,3.675051476376769e-51,evaluation/candidate-off-arb-point-00008.json,775b263ab01b22d4e3111d193482ac2ac85383522ac34f8ad417768c0a811fc0
candidate-off,arb,9,q14,-1,0.1,2,-0.0,-2.1221789508961335e-35,0.0,-1.462508525218087e-33,0.0,-7.080055972219175e-36,0.0,1.4583440263002155e-33,0.0,4.157870684429677e-33,0.0,7.0674127081007884e-37,0.0,-4.1685546603193576e-33,True,False,Stable,Arb,7.368868235077628e-297,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":7.368868235077628e-297}]",0.0,1.790752355761771e-49,evaluation/candidate-off-arb-point-00009.json,685887f891dda719711a427d6601cb5195ffef717cb919e0a191ad42cbb5e42f
candidate-off,arb,10,q14,-1,0.01,2,-0.0,-2.1202457415499495e-34,0.0,-1.4628904482737043e-31,0.0,-7.06146030045741e-35,0.0,1.4624730197139758e-31,0.0,4.158186082913124e-31,0.0,7.06709795467209e-36,0.0,-4.159253425044447e-31,True,False,Stable,Arb,9.65399234281167e-294,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":9.65399234281167e-294}]",0.0,1.2957563314526964e-47,evaluation/candidate-off-arb-point-00010.json,d048371f823ac3c96edba99ac77bdf319c1a8e6973c6a257624892c7f6e8ffbc
candidate-off,arb,11,q14,-1,0.001,2,-0.0,-2.120052715329619e-33,0.0,-1.462928719574416e-29,0.0,-7.059599950217449e-34,0.0,1.462886966905856e-29,0.0,4.158217536526509e-29,0.0,7.067066930276596e-35,0.0,-4.15832426019691e-29,True,False,Stable,Arb,4.2336418803893675e-293,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.2336418803893675e-293}]",0.0,4.652748807328494e-47,evaluation/candidate-off-arb-point-00011.json,d846ffa57ac161ee901a7fb769a2408bd1fc4a4df5980b171cd8fb574d613a1c
candidate-off,arb,12,q14,1,1.0,2,0.0,-2.110903532946944e-36,0.0,-4.4633436293992826e-35,0.0,-7.0549901615366815e-37,0.0,4.4219669149626206e-35,0.0,2.119835536722616e-34,0.0,7.020469837696705e-38,0.0,-2.1304539574306527e-34,True,False,Stable,Arb,1.01911977927551e-298,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.01911977927551e-298}]",0.0,-2.940041181101415e-50,evaluation/candidate-off-arb-point-00012.json,151a45e4eb8dcafd1cb96e731fcc1b8ebad43f743955bec6e6b4680d4b57592e
candidate-off,arb,13,q14,1,0.1,2,0.0,-2.119118752014216e-35,0.0,-4.486599431542746e-33,0.0,-7.058993795532162e-36,0.0,4.4824278574508484e-33,0.0,2.1451535239695448e-32,0.0,7.062419927735895e-37,0.0,-2.1462202101320932e-32,True,False,Stable,Arb,1.3162502390374047e-294,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.3162502390374047e-294}]",0.0,1.0022867662845734e-48,evaluation/candidate-off-arb-point-00013.json,c7f2dfb5e1566887595d3b9e5dcf3456b2fb70b8f1213da2a9ce7a5fbd0b2c52
candidate-off,arb,14,q14,1,0.01,2,-0.0,-2.1199400219198083e-34,0.0,-4.488938611739617e-31,0.0,-7.059353702560416e-35,0.0,4.488521112197967e-31,0.0,2.1477044060009e-30,0.0,7.066599290694622e-36,0.0,-2.147811123111192e-30,True,False,Stable,Arb,1.502427040345922e-293,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.502427040345922e-293}]",0.0,1.2752294984791884e-46,evaluation/candidate-off-arb-point-00014.json,911aaa0b528dfbe2b4c38f99a8a764a17c3be6218e95353b1196b1b1c4730cde
candidate-off,arb,15,q14,1,0.001,2,-0.0,-2.120022146366299e-33,0.0,-4.489172665404257e-29,0.0,-7.059389286541129e-34,0.0,4.4891309120256467e-29,0.0,2.1479596861474043e-28,0.0,7.067017070018028e-35,0.0,-2.147970358343428e-28,True,False,Stable,Arb,3.4209749522187104e-291,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":3.4209749522187104e-291}]",0.0,-4.4206929605629855e-44,evaluation/candidate-off-arb-point-00015.json,d912239cfca1dddab4f3bc3dbbccadfe0536b4e4feadb62de0d3718847cfade4
candidate-off,arb,16,both,-1,1.0,5,0.0,-4.794986249565818e-35,0.0,-9.20473801770628e-27,0.0,3.892414745201909e-26,0.0,2.26359752801875e-27,0.0,-1.3445073258615642e-26,0.0,-4.200885013459494e-26,0.0,2.3470916382929158e-26,True,False,Stable,Arb,1.1815616852724619e-289,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":1.1815616852724619e-289}]",0.0,-3.864433518102004e-42,evaluation/candidate-off-arb-point-00016.json,360dab960482440bdb6da6bc2b1e5c37faa49bb37ecaa23b864082058c8231e1
candidate-off,arb,17,both,-1,0.1,5,5.4e-323,-4.778391774256812e-33,-5e-324,-9.23736386798492e-22,5e-324,3.8926017306535634e-21,-5e-324,2.259918019906295e-22,-2.5e-323,-1.3514311932685972e-21,1.04e-322,-4.173665262652455e-21,-2e-323,2.3302393100705727e-21,True,False,Stable,Arb,4.393739454161857e-285,"[{""precision"":""Arb"",""status"":{""Stable"":2},""estimated_relative_accuracy"":4.393739454161857e-285}]",0.0,5.42579382461861e-38,evaluation/candidate-off-arb-point-00017.json,ca214c5d1cb78df2e7dd5c59ef6bcb50ea76fe0c8478df85ccc3323c64f34748
