graph,returncode,timed_out,result_emitted,neval,duration_s,max_hwm_gib,avg_total_time_s,avg_integrand_time_s,avg_evaluator_time_s,nan_or_unstable_percent,result_re,error_re,rel_error_re_percent,max_weight_impact_re,result_im,error_im,rel_error_im_percent,max_weight_impact_im,max_weight_re_plus,max_weight_re_minus,max_weight_im_plus,max_weight_im_minus
GL043,0,False,True,20,35.629,9.536,0.000256605,0.000171373,0.000144236,0.0,0.0001546929671107525,0.0002747585662060993,177.61542191467942,1.6105233317367635,-0.00045785191441529853,0.0003413878099033149,74.56293162807573,0.6975891941455962,0.004982732655749094,-0.0020766597718185134,8.745844164114208e-05,-0.006387850960299732
GL045,0,False,True,20,33.719,8.301,0.000275258,0.000150426,0.000117649,0.0,-0.0002564676742849493,0.0002331214450487965,90.89700902804074,0.9094342054549723,-0.00020186370984990432,0.0001375490786668135,68.1395773262505,0.6273972366030608,5.286952139002358e-05,-0.00466480951176435,5.0032500683837805e-05,-0.002532974674605441
GL047,0,False,True,20,33.012,8.119,0.000355267,0.000221575,0.000175746,0.0,0.00010944079357518813,5.413023692904921e-05,49.46074965351982,0.352705634874003,-0.0002581774201020998,0.00029938305378281605,115.96020041738,1.145933797790577,0.0007720076915810288,-3.098292718356965e-05,0.0005533049894052447,-0.00591708463042745
GL049,0,False,True,20,40.464,9.419,0.000272479,0.000156457,0.000125084,0.0,0.0003256100841608599,0.00029589358963897814,90.87359514725563,0.9108861401040996,0.000593680529904879,0.0005589637221591692,94.15227449832788,0.9427231536541564,0.005931874254805135,-2.8659766688083125e-07,0.011193527628299962,-1.832274163774986e-05
GL051,0,False,True,20,35.59,9.601,0.000343608,0.000224058,0.000170567,0.0,-3.746254177198364e-05,5.039629552726116e-05,134.52449605261444,1.3007126334997778,0.0001300877877024935,0.00013657649735424247,104.98794680603565,1.0432874715834564,0.00018166599745509128,-0.0009745600273166455,0.002714379182320398,-0.00020820209295326178
GL053,0,False,True,20,29.64,8.103,0.000254814,0.000144355,0.000111071,0.0,-0.0001437470758751259,0.00010737439778829958,74.6967527058265,0.5541600338677752,2.3034101881686315e-05,9.096800281588098e-05,394.9275004648944,3.0350750738891707,0.00017620571735140768,-0.0015931776887070687,0.0013982045694105956,-0.0010052289887447071
GL057,0,False,True,20,36.386,9.507,0.000339598,0.000197285,0.000162787,0.0,-0.0001844177720411707,0.00019319694025329712,104.7604784045252,1.0440086614024617,0.00014436622710812375,0.00014758180970691698,102.22737870428995,1.0195881668129525,0.0001876189456902721,-0.0038506750265505387,0.0029438819369374853,-0.00011383156994207102
GL059,0,False,True,20,30.01,8.303,0.000252254,0.000138083,0.000108691,0.0,4.5025083527349733e-05,4.192082179078881e-05,93.10548366961876,0.8880922261054885,-2.7891260956894344e-06,3.548140540171723e-05,1272.1334276192595,10.199461381832785,0.0007997285332077917,-0.00012768596812304158,0.00028873814151029364,-0.0005689516780409288
GL061,0,False,True,20,36.652,9.543,0.000239159,0.000141644,0.000115261,0.0,7.836322976285079e-05,6.437824296438253e-05,82.1536365451108,0.777834838768075,-1.0764405968997748e-05,5.687094004848425e-05,528.3239986700296,3.8918226107109883,0.0012190730037586533,-0.00014041007312715404,0.0008378631708203554,-0.0006558873911045726
GL067,0,False,True,20,36.507,9.418,0.000309244,0.000202463,0.000170502,0.0,0.0013273197056526114,0.00129957075921696,97.90939994957674,0.9800084659317759,-0.00024265686983213406,0.0002465803578068765,101.61688724389163,1.0133791239768544,0.026015690970752643,-2.9319532606232912e-05,0.00025054094652064197,-0.004918068123549071
GL069,0,False,True,20,35.768,9.609,0.000288514,0.000193123,0.000161952,0.0,7.086134633535048e-05,7.983758764610402e-05,112.66733102737506,1.0332650075949863,-0.00013166346263166238,0.00011776929829903908,89.4472133309351,0.8627669850138953,0.0014643709911877374,-0.00045030284405482167,0.00025257044867358887,-0.0022718977738241802
GL071,0,False,True,20,35.757,9.609,0.000380316,0.000201774,0.000163232,0.0,-2.33409279850261e-05,6.0521331704193456e-05,259.29273995883835,2.376002067532465,6.423189830343187e-05,6.779353425807937e-05,105.54496449384432,1.0132471624132768,0.0002876085894287952,-0.0011091618630109676,0.00130165577384741,-0.0003014260574745347
GL073,0,False,True,20,36.443,9.523,0.00028882,0.000159536,0.000126952,0.0,-0.0001617441269554015,0.0001573438163897529,97.27946192020813,0.9739747454318044,0.0002544038917867829,0.0002487511891596484,97.77805968791073,0.9784788305587249,9.146527505469788e-06,-0.0031506938975295324,0.004978576450502395,-5.3679001290443276e-05
GL079,0,False,True,20,36.425,9.515,0.000338214,0.000211752,0.00017523,0.0,-0.0001087425892970287,8.440219367751503e-05,77.61650170658687,0.7760490193241972,-2.0212609242715934e-05,1.6791070024207836e-05,83.07225367382429,0.7611139470793965,4.7113048100640524e-05,-0.0016877915956546616,5.256432810261227e-05,-0.0003076819760299403
GL081,0,False,True,20,29.171,8.151,0.000390543,0.000266458,0.000166113,0.0,2.616242773344479e-05,2.4713508539143693e-05,94.46183202467533,0.8873662027240722,-5.034758242688944e-05,4.003685295214719e-05,79.52090452463207,0.7800158314220375,0.00046431308303739716,-0.00013437249986873119,9.285912981265554e-05,-0.0007854382273359946
GL085,0,False,True,20,38.503,9.54,0.000339284,0.000234565,0.000164711,0.0,-1.951439798876225e-05,1.2676374074805418e-05,64.95908345266587,0.5139312687711717,-3.146299872954182e-05,1.9696314350341783e-05,62.6015165294723,0.45493127500188235,3.8481040866509415e-05,-0.00020058118635340368,9.103779223458942e-05,-0.00028627004254826134
GL087,0,False,True,20,31.094,8.299,0.000296734,0.000193763,0.000161321,0.0,-1.627767597655487e-05,4.1539204684865496e-05,255.1912493202065,2.339552191596657,-2.5627273918440214e-05,3.859120904314971e-05,150.58647738330546,1.1677681311593762,0.00017553034529617544,-0.000761649450100984,0.00029525978485793957,-0.0005985342754089271
GL089,0,False,True,20,36.697,9.792,0.000319078,0.000184156,0.00015236,0.0,-1.728809583735854e-05,5.2643732823434555e-05,304.5085665806792,2.749128004627715,-4.847411664288936e-05,5.818195863664529e-05,120.02685694155907,1.156760748055315,0.00030068242629347717,-0.0009505437682634038,0.00022612748085204821,-0.001121459108582986
GL091,0,False,True,20,36.357,9.709,0.000290306,0.000162956,0.000130738,0.0,-2.6441884145075834e-05,2.023687287590118e-05,76.5333996808613,0.7490152768322398,9.024387506961061e-05,7.325355691225431e-05,81.17288498055892,0.7731849779915022,2.9251704007448534e-05,-0.00039610750345779974,0.0013955041711912952,-0.00013353452620800513
GL093,0,False,True,20,30.932,8.178,0.00037746,0.000251875,0.000176374,0.0,2.3073898328515133e-05,4.848715445546121e-05,210.1385460104066,1.3721480100971977,-5.443178932221209e-05,5.800035578209094e-05,106.55603371543513,0.8006362054542608,0.0005650896369946112,-0.0006332160735331418,0.00020167706030343083,-0.0008716012251804328
GL095,0,False,True,20,41.801,9.84,0.000349494,0.000210846,0.000175877,0.0,3.155237578248455e-05,2.8231351842600615e-05,89.47456773848545,0.5773029050855809,-0.0019722145247955862,0.0019388165224875308,98.30657355535311,0.983813609140425,0.00036430556403160516,-0.0003032829173956523,7.307399189981232e-05,-0.038805829792766276
